Date,Time,Type,Route Name,Distance (km),00:24:41,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
2017-06-04,16:01:52,Running,,21.02,02:02:14,05:49,10.32,1482,330,138,,TomTom MySports Watch,2017-06-04-160152.gpx
2017-06-01,19:00:16,Running,,8.65,45:28:00,05:15,11.41,612,88,143,,TomTom MySports Watch,2017-06-01-190016.gpx
2017-05-30,18:19:20,Running,,8.42,42:48:00,05:05,11.8,584,85,154,,TomTom MySports Watch,2017-05-30-181920.gpx
2017-05-28,16:42:07,Running,,21.11,01:58:50,05:38,10.66,1477,337,143,,TomTom MySports Watch,2017-05-28-164207.gpx
2017-05-24,18:23:30,Running,,12.74,01:09:47,05:29,10.95,892,171,140,,TomTom MySports Watch,2017-05-24-182330.gpx
2017-05-21,12:18:56,Running,,22.07,02:06:18,05:43,10.48,1569,354,146,,TomTom MySports Watch,2017-05-21-121856.gpx
2017-05-17,18:18:34,Running,,13.82,01:10:59,05:08,11.68,1000,128,,,,2017-05-17-181834.gpx
2017-05-15,18:25:55,Running,,16.83,01:24:48,05:02,11.91,1177,167,151,,TomTom MySports Watch,2017-05-15-182555.gpx
2017-05-10,18:40:04,Running,,8.53,43:24:00,05:05,11.79,595,87,146,,TomTom MySports Watch,2017-05-10-184004.gpx
2017-05-03,18:32:01,Running,,12.43,01:04:04,05:09,11.64,865,125,151,,TomTom MySports Watch,2017-05-03-183201.gpx
2017-05-01,17:38:35,Cycling,,20.19,54:29:00,02:42,22.24,491,204,135,,TomTom MySports Watch,2017-05-01-173835.gpx
2017-04-29,17:05:47,Running,,21.18,02:02:14,05:46,10.39,1504,343,142,,TomTom MySports Watch,2017-04-29-170547.gpx
2017-04-25,18:44:32,Running,,8.68,44:46:00,05:09,11.63,606,86,150,,TomTom MySports Watch,2017-04-25-184432.gpx
2017-04-23,11:50:12,Running,Two roads - Irpin,19.27,01:50:24,05:44,10.47,1450,305,149,,TomTom MySports Watch,2017-04-23-115012.gpx
2017-04-17,16:20:08,Running,,15,01:21:03,05:24,11.1,1060,222,147,,TomTom MySports Watch,2017-04-17-162008.gpx
2017-04-13,19:04:16,Running,,8.58,46:21:00,05:24,11.1,603,88,145,,TomTom MySports Watch,2017-04-13-190416.gpx
2017-04-10,18:46:56,Running,,12.72,01:07:05,05:16,11.38,908.9999995,122,146,,TomTom MySports Watch,2017-04-10-184656.gpx
2017-04-06,19:07:46,Running,,8.65,42:24:00,04:54,12.25,594.9999997,87,156,,TomTom MySports Watch,2017-04-06-190746.gpx
2017-04-04,18:31:11,Running,,8.61,45:58:00,05:20,11.24,612.9999996,89,143,,TomTom MySports Watch,2017-04-04-183111.gpx
2017-04-01,16:56:53,Running,,13.53,01:14:46,05:32,10.86,955.9999994,196,146,,TomTom MySports Watch,2017-04-01-165653.gpx
2017-03-30,19:06:29,Running,,8.48,46:53:00,05:32,10.85,606.9999997,90,143,,TomTom MySports Watch,2017-03-30-190629.gpx
2017-03-28,19:13:23,Running,,8.65,45:24:00,05:15,11.43,611.9999996,88,152,,TomTom MySports Watch,2017-03-28-191323.gpx
2017-03-26,17:10:40,Running,,14.62,01:21:54,05:36,10.71,1062,149,,,,2017-03-26-171040.gpx
2017-03-20,18:44:13,Running,,14.42,01:18:40,05:27,11,1017.999999,99,148,,TomTom MySports Watch,2017-03-20-184413.gpx
2017-03-16,18:21:05,Running,,6.8,36:18:00,05:20,11.24,489.9999997,67,151,,TomTom MySports Watch,2017-03-16-182105.gpx
2017-03-13,18:34:11,Running,,12.06,01:07:14,05:34,10.77,839.9999995,113,143,,TomTom MySports Watch,2017-03-13-183411.gpx
2017-03-09,18:20:43,Running,,9.52,54:28:00,05:43,10.49,675.9999996,81,139,,TomTom MySports Watch,2017-03-09-182043.gpx
2017-02-27,18:57:30,Running,,11.02,59:26:00,05:24,11.12,790.9999995,102,150,,TomTom MySports Watch,2017-02-27-185730.gpx
2017-02-23,18:39:15,Running,,8.8,50:57:00,05:47,10.37,617.9999996,85,139,,TomTom MySports Watch,2017-02-23-183915.gpx
2017-02-21,19:16:07,Running,,7.4,41:20:00,05:35,10.75,521.9999997,82,140,,TomTom MySports Watch,2017-02-21-191607.gpx
2017-02-13,18:42:55,Running,,9.78,56:19:00,05:45,10.42,691.9999996,78,146,,TomTom MySports Watch,2017-02-13-184255.gpx
2017-02-06,18:45:01,Running,,9.79,58:23:00,05:58,10.07,716.9999996,76,145,,TomTom MySports Watch,2017-02-06-184501.gpx
2017-01-30,18:43:33,Running,,6.98,37:28:00,05:22,11.18,496.9999997,66,143,,TomTom MySports Watch,2017-01-30-184333.gpx
2017-01-26,18:47:36,Running,,8.3,44:30:00,05:22,11.19,585.9999997,74,144,,TomTom MySports Watch,2017-01-26-184736.gpx
2017-01-23,18:39:10,Running,,11.98,01:07:49,05:40,10.6,849.9999995,100,150,,TomTom MySports Watch,2017-01-23-183910.gpx
2017-01-19,18:10:00,Running,,7.43,41:36:00,05:36,10.72,517.9999997,51,132,,TomTom MySports Watch,2017-01-19-181000.gpx
2017-01-16,18:04:30,Running,,12.15,01:08:32,05:38,10.64,849.9999995,99,143,,TomTom MySports Watch,2017-01-16-180430.gpx
2017-01-12,18:19:37,Running,,12,01:08:08,05:41,10.57,859.9999995,100,148,,TomTom MySports Watch,2017-01-12-181937.gpx
2017-01-05,18:15:10,Running,,7.02,39:42:00,05:39,10.61,492.9999997,68,143,,TomTom MySports Watch,2017-01-05-181510.gpx
2017-01-03,18:26:07,Running,,10.05,57:27:00,05:43,10.49,699.9999996,93,143,,TomTom MySports Watch,2017-01-03-182607.gpx
2016-12-29,19:08:37,Running,,7,39:48:00,05:41,10.55,490.9999997,67,113,,TomTom MySports Watch,2016-12-29-190837.gpx
2016-12-26,18:37:08,Running,,6.92,39:42:00,05:44,10.45,478.9999997,67,139,,TomTom MySports Watch,2016-12-26-183708.gpx
2016-12-22,18:43:38,Running,,6.9,38:28:00,05:35,10.76,481.9999997,64,137,,TomTom MySports Watch,2016-12-22-184338.gpx
2016-12-15,18:53:07,Running,,6.85,37:44:00,05:30,10.9,486.9999997,67,140,,TomTom MySports Watch,2016-12-15-185307.gpx
2016-12-06,18:36:37,Running,,6.99,41:34:00,05:57,10.08,499.9999997,49,139,,TomTom MySports Watch,2016-12-06-183637.gpx
2016-12-01,18:39:39,Running,,6.96,39:33:00,05:41,10.56,478.9999997,66,126,,TomTom MySports Watch,2016-12-01-183939.gpx
2016-11-28,18:46:07,Running,,10.13,57:41:00,05:42,10.54,708.9999996,95,144,,TomTom MySports Watch,2016-11-28-184607.gpx
2016-11-24,18:50:24,Running,,6.73,36:01:00,05:21,11.21,470.9999997,65,163,,TomTom MySports Watch,2016-11-24-185024.gpx
2016-11-21,18:57:32,Running,,10.05,56:45:00,05:39,10.63,703.9999996,96,146,,TomTom MySports Watch,2016-11-21-185732.gpx
2016-11-17,18:52:21,Running,,6.95,40:32:00,05:50,10.28,493.9999997,67,161,,TomTom MySports Watch,2016-11-17-185221.gpx
2016-11-15,18:27:55,Running,,6.94,40:44:00,05:52,10.22,491.9999997,66,134,,TomTom MySports Watch,2016-11-15-182755.gpx
2016-11-10,18:31:03,Running,,6.83,40:03:00,05:52,10.22,483.9999997,67,134,,TomTom MySports Watch,2016-11-10-183103.gpx
2016-11-03,18:17:35,Running,,6.77,37:58:00,05:37,10.7,482.9999997,64,142,,TomTom MySports Watch,2016-11-03-181735.gpx
2016-10-31,19:34:32,Running,,10.15,56:36:00,05:35,10.76,700.9999996,109,132,,TomTom MySports Watch,2016-10-31-193432.gpx
2016-10-27,19:17:55,Running,,6.84,34:57:00,05:06,11.75,477.9999997,75,146,,TomTom MySports Watch,2016-10-27-191755.gpx
2016-10-24,18:38:31,Running,,10.15,58:25:00,05:45,10.42,703.9999996,92,139,,TomTom MySports Watch,2016-10-24-183831.gpx
2016-10-20,18:57:48,Running,,10.19,56:25:00,05:32,10.83,715.9999996,89,148,,TomTom MySports Watch,2016-10-20-185748.gpx
2016-10-17,18:39:56,Running,,10.02,55:56:00,05:35,10.75,712.9999996,92,136,,TomTom MySports Watch,2016-10-17-183956.gpx
2016-10-15,17:14:34,Running,,13.49,01:14:11,05:30,10.91,942.9999995,182,143,,TomTom MySports Watch,2016-10-15-171434.gpx
2016-10-12,17:50:31,Running,,9.77,52:12:00,05:21,11.22,700,57,,,,2016-10-12-175031.gpx
2016-10-03,11:47:16,Cycling,,23.62,01:12:42,03:05,19.5,606,301,126,,TomTom MySports Watch,2016-10-03-114716.gpx
